Date,Close,Daily Return
9/13/2022 16:00:00,126.82,
9/14/2022 16:00:00,128.55,0.0173000
9/15/2022 16:00:00,126.28,-0.0227000
9/16/2022 16:00:00,123.53,-0.0275000
9/19/2022 16:00:00,124.66,0.0113000
9/20/2022 16:00:00,122.19,-0.0247000
9/21/2022 16:00:00,118.54,-0.0365000
9/22/2022 16:00:00,117.31,-0.0123000
9/23/2022 16:00:00,113.78,-0.0353000
9/26/2022 16:00:00,115.15,0.0137000
9/27/2022 16:00:00,114.41,-0.0074000
9/28/2022 16:00:00,118.01,0.0360000
9/29/2022 16:00:00,114.8,-0.0321000
9/30/2022 16:00:00,113,-0.0180000
10/3/2022 16:00:00,115.88,0.0288000
10/4/2022 16:00:00,121.09,0.0521000
10/5/2022 16:00:00,120.95,-0.0014000
10/6/2022 16:00:00,120.3,-0.0065000
10/7/2022 16:00:00,114.56,-0.0574000
10/10/2022 16:00:00,113.67,-0.0089000
10/11/2022 16:00:00,112.21,-0.0146000
10/12/2022 16:00:00,112.9,0.0069000
10/13/2022 16:00:00,112.53,-0.0037000
10/14/2022 16:00:00,106.9,-0.0563000
10/17/2022 16:00:00,113.79,0.0689000
10/18/2022 16:00:00,116.36,0.0257000
10/19/2022 16:00:00,115.07,-0.0129000
10/20/2022 16:00:00,115.25,0.0018000
10/21/2022 16:00:00,119.32,0.0407000
10/24/2022 16:00:00,119.82,0.0050000
10/25/2022 16:00:00,120.6,0.0078000
10/26/2022 16:00:00,115.66,-0.0494000
10/27/2022 16:00:00,110.96,-0.0470000
10/28/2022 16:00:00,103.41,-0.0755000
10/31/2022 16:00:00,102.44,-0.0097000
11/1/2022 16:00:00,96.79,-0.0565000
11/2/2022 16:00:00,92.12,-0.0467000
11/3/2022 16:00:00,89.3,-0.0282000
11/4/2022 16:00:00,90.98,0.0168000
11/7/2022 16:00:00,90.53,-0.0045000
11/8/2022 16:00:00,89.98,-0.0055000
11/9/2022 16:00:00,86.14,-0.0384000
11/10/2022 16:00:00,96.63,0.1049000
11/11/2022 16:00:00,100.79,0.0416000
11/14/2022 16:00:00,98.49,-0.0230000
11/15/2022 16:00:00,98.94,0.0045000
11/16/2022 16:00:00,97.12,-0.0182000
11/17/2022 16:00:00,94.85,-0.0227000
11/18/2022 16:00:00,94.14,-0.0071000
11/21/2022 16:00:00,92.46,-0.0168000
11/22/2022 16:00:00,93.2,0.0074000
11/23/2022 16:00:00,94.13,0.0093000
11/25/2022 13:05:00,93.41,-0.0072000
11/28/2022 16:00:00,93.95,0.0054000
11/29/2022 16:00:00,92.42,-0.0153000
11/30/2022 16:00:00,96.54,0.0412000
12/1/2022 16:00:00,95.5,-0.0104000
12/2/2022 16:00:00,94.13,-0.0137000
12/5/2022 16:00:00,91.01,-0.0312000
12/6/2022 16:00:00,88.25,-0.0276000
12/7/2022 16:00:00,88.46,0.0021000
12/8/2022 16:00:00,90.35,0.0189000
12/9/2022 16:00:00,89.09,-0.0126000
12/12/2022 16:00:00,90.55,0.0146000
12/13/2022 16:00:00,92.49,0.0194000
12/14/2022 16:00:00,91.58,-0.0091000
12/15/2022 16:00:00,88.45,-0.0313000
12/16/2022 16:00:00,87.86,-0.0059000
12/19/2022 16:00:00,84.92,-0.0294000
12/20/2022 16:00:00,85.19,0.0027000
12/21/2022 16:00:00,86.77,0.0158000
12/22/2022 16:00:00,83.79,-0.0298000
12/23/2022 16:00:00,85.25,0.0146000
12/27/2022 16:00:00,83.04,-0.0221000
12/28/2022 16:00:00,81.82,-0.0122000
12/29/2022 16:00:00,84.18,0.0236000
12/30/2022 16:00:00,84,-0.0018000
1/3/2023 16:00:00,85.82,0.0182000
1/4/2023 16:00:00,85.14,-0.0068000
1/5/2023 16:00:00,83.12,-0.0202000
1/6/2023 16:00:00,86.08,0.0296000
1/9/2023 16:00:00,87.36,0.0128000
1/10/2023 16:00:00,89.87,0.0251000
1/11/2023 16:00:00,95.09,0.0522000
1/12/2023 16:00:00,95.27,0.0018000
1/13/2023 16:00:00,98.12,0.0285000
1/17/2023 16:00:00,96.05,-0.0207000
1/18/2023 16:00:00,95.46,-0.0059000
1/19/2023 16:00:00,93.68,-0.0178000
1/20/2023 16:00:00,97.25,0.0357000
1/23/2023 16:00:00,97.52,0.0027000
1/24/2023 16:00:00,96.32,-0.0120000
1/25/2023 16:00:00,97.18,0.0086000
1/26/2023 16:00:00,99.22,0.0204000
1/27/2023 16:00:00,102.24,0.0302000
1/30/2023 16:00:00,100.55,-0.0169000
1/31/2023 16:00:00,103.13,0.0258000
2/1/2023 16:00:00,105.15,0.0202000
2/2/2023 16:00:00,112.91,0.0776000
2/3/2023 16:00:00,103.39,-0.0952000
2/6/2023 16:00:00,102.18,-0.0121000
2/7/2023 16:00:00,102.11,-0.0007000
2/8/2023 16:00:00,100.05,-0.0206000
2/9/2023 16:00:00,98.24,-0.0181000
2/10/2023 16:00:00,97.61,-0.0063000
2/13/2023 16:00:00,99.54,0.0193000
2/14/2023 16:00:00,99.7,0.0016000
2/15/2023 16:00:00,101.16,0.0146000
2/16/2023 16:00:00,98.15,-0.0301000
2/17/2023 16:00:00,97.2,-0.0095000
2/21/2023 16:00:00,94.58,-0.0262000
2/22/2023 16:00:00,95.79,0.0121000
2/23/2023 16:00:00,95.82,0.0003000
2/24/2023 16:00:00,93.5,-0.0232000
2/27/2023 16:00:00,93.76,0.0026000
2/28/2023 16:00:00,94.23,0.0047000
3/1/2023 16:00:00,92.17,-0.0206000
3/2/2023 16:00:00,92.13,-0.0004000
3/3/2023 16:00:00,94.9,0.0277000
3/6/2023 16:00:00,93.75,-0.0115000
3/7/2023 16:00:00,93.55,-0.0020000
3/8/2023 16:00:00,93.92,0.0037000
3/9/2023 16:00:00,92.25,-0.0167000
3/10/2023 16:00:00,90.73,-0.0152000
3/13/2023 16:00:00,92.43,0.0170000
3/14/2023 16:00:00,94.88,0.0245000
3/15/2023 16:00:00,96.2,0.0132000
3/16/2023 16:00:00,100.04,0.0384000
3/17/2023 16:00:00,98.95,-0.0109000
3/20/2023 16:00:00,97.71,-0.0124000
3/21/2023 16:00:00,100.61,0.0290000
3/22/2023 16:00:00,98.7,-0.0191000
3/23/2023 16:00:00,98.71,0.0001000
3/24/2023 16:00:00,98.13,-0.0058000
3/27/2023 16:00:00,98.04,-0.0009000
3/28/2023 16:00:00,97.24,-0.0080000
3/29/2023 16:00:00,100.25,0.0301000
3/30/2023 16:00:00,102,0.0175000
3/31/2023 16:00:00,103.29,0.0129000
4/3/2023 16:00:00,102.41,-0.0088000
4/4/2023 16:00:00,103.95,0.0154000
4/5/2023 16:00:00,101.1,-0.0285000
4/6/2023 16:00:00,102.06,0.0096000
4/10/2023 16:00:00,102.17,0.0011000
4/11/2023 16:00:00,99.92,-0.0225000
4/12/2023 16:00:00,97.83,-0.0209000
4/13/2023 16:00:00,102.4,0.0457000
4/14/2023 16:00:00,102.51,0.0011000
4/17/2023 16:00:00,102.74,0.0023000
4/18/2023 16:00:00,102.3,-0.0044000
4/19/2023 16:00:00,104.3,0.0200000
4/20/2023 16:00:00,103.81,-0.0049000
4/21/2023 16:00:00,106.96,0.0315000
4/24/2023 16:00:00,106.21,-0.0075000
4/25/2023 16:00:00,102.57,-0.0364000
4/26/2023 16:00:00,104.98,0.0241000
4/27/2023 16:00:00,109.82,0.0484000
4/28/2023 16:00:00,105.45,-0.0437000
5/1/2023 16:00:00,102.05,-0.0340000
5/2/2023 16:00:00,103.63,0.0158000
5/3/2023 16:00:00,103.65,0.0002000
5/4/2023 16:00:00,104,0.0035000
5/5/2023 16:00:00,105.66,0.0166000
5/8/2023 16:00:00,105.83,0.0017000
5/9/2023 16:00:00,106.62,0.0079000
5/10/2023 16:00:00,110.19,0.0357000
